Change Component Designator: OldDesignator=FPC1 NewDesignator=FPC2
Change Component Designator: OldDesignator=FPC2 NewDesignator=FPC1
Added Pin To Net: NetName=R1 Pin=FPC1-1
Added Pin To Net: NetName=R2 Pin=FPC1-2
Added Pin To Net: NetName=R3 Pin=FPC1-3
Added Pin To Net: NetName=R4 Pin=FPC1-4
Added Pin To Net: NetName=R5 Pin=FPC1-5
Added Pin To Net: NetName=R6 Pin=FPC1-6
Added Pin To Net: NetName=R7 Pin=FPC1-7
Added Pin To Net: NetName=R8 Pin=FPC1-8
Added Pin To Net: NetName=R9 Pin=FPC1-9
Added Pin To Net: NetName=R10 Pin=FPC1-10
Added Pin To Net: NetName=R11 Pin=FPC1-11
Added Pin To Net: NetName=R12 Pin=FPC1-12
Added Pin To Net: NetName=R13 Pin=FPC1-13
Added Pin To Net: NetName=R14 Pin=FPC1-14
Added Pin To Net: NetName=R15 Pin=FPC1-15
Added Pin To Net: NetName=R16 Pin=FPC1-16
Added Pin To Net: NetName=C1 Pin=FPC2-1
Added Pin To Net: NetName=C2 Pin=FPC2-2
Added Pin To Net: NetName=C3 Pin=FPC2-3
Added Pin To Net: NetName=C4 Pin=FPC2-4
Added Pin To Net: NetName=C5 Pin=FPC2-5
Added Pin To Net: NetName=C6 Pin=FPC2-6
Added Pin To Net: NetName=C7 Pin=FPC2-7
Added Pin To Net: NetName=C8 Pin=FPC2-8
Added Pin To Net: NetName=C9 Pin=FPC2-9
Added Pin To Net: NetName=C10 Pin=FPC2-10
Added Pin To Net: NetName=C11 Pin=FPC2-11
Added Pin To Net: NetName=C12 Pin=FPC2-12
Added Pin To Net: NetName=C13 Pin=FPC2-13
Added Pin To Net: NetName=C14 Pin=FPC2-14
Added Pin To Net: NetName=C15 Pin=FPC2-15
Added Pin To Net: NetName=C16 Pin=FPC2-16
Change Room Name: Old Name=Power_1 New Name=Power
Added Room: Name=Scan
