Net Status Report
Filename     : D:\墨现-工作资料\Medical Treatment Bed\16x16 updated.PcbDoc
Date         : 2022/10/31
Time         : 10:27:02
Time Elapsed : 00:00:00

Nets, Layer, Length
    3V3_MCU, Signal Layers Only, 0mils
    ADC1, Signal Layers Only, 0mils
    ADC2, Signal Layers Only, 0mils
    ADC3, Signal Layers Only, 0mils
    ADC4, Signal Layers Only, 0mils
    AGND, Signal Layers Only, 0mils
    C1, Signal Layers Only, 708.303mils
    C10, Signal Layers Only, 289.512mils
    C11, Signal Layers Only, 368.28mils
    C12, Signal Layers Only, 468.827mils
    C13, Signal Layers Only, 571.123mils
    C14, Signal Layers Only, 682.205mils
    C15, Signal Layers Only, 729.687mils
    C16, Signal Layers Only, 1454.728mils
    C2, Signal Layers Only, 633.856mils
    C3, Signal Layers Only, 714.338mils
    C4, Signal Layers Only, 465.453mils
    C5, Signal Layers Only, 385.323mils
    C6, Signal Layers Only, 305.323mils
    C7, Signal Layers Only, 230.92mils
    C8, Signal Layers Only, 197.652mils
    C9, Signal Layers Only, 206.719mils
    CH340_D+, Signal Layers Only, 0mils
    CH340_D-, Signal Layers Only, 0mils
    C_A, Signal Layers Only, 0mils
    C_B, Signal Layers Only, 0mils
    GND, Signal Layers Only, 0mils
    IN_CH1+, Signal Layers Only, 0mils
    IN_CH2+, Signal Layers Only, 0mils
    IN_CH3+, Signal Layers Only, 0mils
    IN_CH4+, Signal Layers Only, 0mils
    LEN_GREEN, Signal Layers Only, 0mils
    M_A, Signal Layers Only, 0mils
    M_B, Signal Layers Only, 0mils
    NetC11_1, Signal Layers Only, 0mils
    NetC16_1, Signal Layers Only, 0mils
    NetC26_1, Signal Layers Only, 0mils
    NetC7_2, Signal Layers Only, 0mils
    NetD1_A, Signal Layers Only, 0mils
    NetD2_1, Signal Layers Only, 0mils
    NetF1_2, Signal Layers Only, 77.207mils
    NetR11_1, Signal Layers Only, 0mils
    NetR11_2, Signal Layers Only, 0mils
    NetR12_1, Signal Layers Only, 0mils
    NetR12_2, Signal Layers Only, 0mils
    NetR18_2, Signal Layers Only, 0mils
    NetR19_2, Signal Layers Only, 0mils
    NetR20_2, Signal Layers Only, 0mils
    NetR21_2, Signal Layers Only, 0mils
    NetR22_1, Signal Layers Only, 0mils
    NetR23_1, Signal Layers Only, 0mils
    NetR24_1, Signal Layers Only, 0mils
    NetR25_1, Signal Layers Only, 0mils
    NetR26_1, Signal Layers Only, 0mils
    NetR27_1, Signal Layers Only, 0mils
    NetR28_1, Signal Layers Only, 0mils
    NetR29_1, Signal Layers Only, 0mils
    NetR30_1, Signal Layers Only, 0mils
    NetR31_1, Signal Layers Only, 0mils
    NetR32_1, Signal Layers Only, 0mils
    NetR33_1, Signal Layers Only, 0mils
    NetR37_1, Signal Layers Only, 0mils
    NetR38_1, Signal Layers Only, 0mils
    NetR39_1, Signal Layers Only, 0mils
    NetR40_1, Signal Layers Only, 0mils
    NetR41_2, Signal Layers Only, 0mils
    NetR42_2, Signal Layers Only, 0mils
    NetR5_1, Signal Layers Only, 0mils
    NetR5_2, Signal Layers Only, 0mils
    NetR6_1, Signal Layers Only, 0mils
    NetR6_2, Signal Layers Only, 0mils
    OSC_IN, Signal Layers Only, 575.519mils
    OSC_OUT, Signal Layers Only, 420.172mils
    PA10(USART0_RXD), Signal Layers Only, 0mils
    PA9(USART0_TXD), Signal Layers Only, 0mils
    R1, Signal Layers Only, 0mils
    R10, Signal Layers Only, 0mils
    R11, Signal Layers Only, 0mils
    R12, Signal Layers Only, 0mils
    R13, Signal Layers Only, 0mils
    R14, Signal Layers Only, 0mils
    R15, Signal Layers Only, 0mils
    R16, Signal Layers Only, 0mils
    R2, Signal Layers Only, 0mils
    R3, Signal Layers Only, 0mils
    R4, Signal Layers Only, 0mils
    R5, Signal Layers Only, 0mils
    R6, Signal Layers Only, 0mils
    R7, Signal Layers Only, 0mils
    R8, Signal Layers Only, 0mils
    R9, Signal Layers Only, 0mils
    SWCLK, Signal Layers Only, 0mils
    SWDIO, Signal Layers Only, 0mils
    VCC_3V3, Signal Layers Only, 0mils
    VCC_5V, Signal Layers Only, 0mils
count : 95
